Cluster	Category	ID	Description	p.adjust	query_size	Count	term_size	effective_domain_size	geneID	GeneRatio	BgRatio
all-regulated	GO:BP	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	0.007307802026795486	75	5	66	21031	ITGAM/IL12RB1/HLA-F/HLA-G/TAP2	5/75	66/21031
all-regulated	GO:BP	GO:0031343	positive regulation of cell killing	0.012046314097463465	75	5	73	21031	ITGAM/IL12RB1/HLA-F/HLA-G/TAP2	5/75	73/21031
all-regulated	GO:BP	GO:0001909	leukocyte mediated cytotoxicity	0.015465878899353183	75	6	133	21031	RNF19B/ITGAM/IL12RB1/HLA-F/HLA-G/TAP2	6/75	133/21031
all-regulated	GO:BP	GO:0001916	positive regulation of T cell mediated cytotoxicity	0.019314414309368193	75	4	38	21031	IL12RB1/HLA-F/HLA-G/TAP2	4/75	38/21031
all-regulated	GO:BP	GO:0001906	cell killing	0.023798677475692687	75	7	217	21031	RNF19B/GBP3/ITGAM/IL12RB1/HLA-F/HLA-G/TAP2	7/75	217/21031
all-regulated	GO:BP	GO:0001910	regulation of leukocyte mediated cytotoxicity	0.03548291886515902	75	5	91	21031	ITGAM/IL12RB1/HLA-F/HLA-G/TAP2	5/75	91/21031
all-regulated	GO:BP	GO:0002476	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	0.03695860035258291	75	3	15	21031	HLA-F/HLA-G/TAP2	3/75	15/21031
all-regulated	GO:BP	GO:0002484	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	0.03695860035258291	75	3	15	21031	HLA-F/HLA-G/TAP2	3/75	15/21031
all-regulated	GO:BP	GO:0002428	antigen processing and presentation of peptide antigen via MHC class Ib	0.04537088429518789	75	3	16	21031	HLA-F/HLA-G/TAP2	3/75	16/21031
all-regulated	GO:BP	GO:0001914	regulation of T cell mediated cytotoxicity	0.04555163700324757	75	4	47	21031	IL12RB1/HLA-F/HLA-G/TAP2	4/75	47/21031
all-regulated	KEGG	KEGG:05170	Human immunodeficiency virus 1 infection	0.00838027012930279	45	7	210	8484	BAX/LIMK2/APOBEC3B/APOBEC3F/HLA-F/HLA-G/TAP2	7/45	210/8484
