Sample	PF_HQ_ALIGNED_READS	READS_ALIGNED_IN_PAIRS	MEAN_READ_LENGTH	BAD_CYCLES	PF_INDEL_RATE	PCT_READS_ALIGNED_IN_PAIRS	TOTAL_READS	PCT_CHIMERAS	PF_HQ_ERROR_RATE	PF_ALIGNED_BASES	PCT_PF_READS	PF_READS_IMPROPER_PAIRS	PF_READS	PCT_ADAPTER	PCT_PF_READS_ALIGNED	READ_GROUP	LIBRARY	SAMPLE	PF_NOISE_READS	STRAND_BALANCE	PF_HQ_ALIGNED_Q20_BASES	CATEGORY	PF_HQ_MEDIAN_MISMATCHES	PF_HQ_ALIGNED_BASES	PCT_PF_READS_IMPROPER_PAIRS	PF_MISMATCH_RATE	PF_READS_ALIGNED
AD-1-Basal	46487012.0	50307804.0	150.0	0.0	0.000164	1.0	71256700.0	0.001833	0.002923	7181881070.0	1.0	0.0	71256700.0	0.0	0.706008				0.0	0.5	6518301560.0	PAIR	0.0	6647012275.0	0.0	0.003006	50307804.0
AD-1-IFNb	40332660.0	46586356.0	150.0	0.0	0.000181	1.0	72270294.0	0.001811	0.002911	6588110609.0	1.0	0.0	72270294.0	0.0	0.644613				0.0	0.5	5637995631.0	PAIR	0.0	5715655824.0	0.0	0.002969	46586356.0
AD-1-LPS	38011420.0	43638142.0	150.0	0.0	0.000187	1.0	65523028.0	0.001434	0.002599	6186884960.0	1.0	0.0	65523028.0	0.0	0.665997				0.0	0.5	5322383986.0	PAIR	0.0	5400247443.0	0.0	0.002699	43638142.0
AD-10-Basal	44724566.0	46714228.0	150.0	0.0	0.000148	1.0	67118738.0	0.001799	0.002549	6677453884.0	1.0	0.0	67118738.0	0.0	0.695994				0.0	0.5	6308673865.0	PAIR	0.0	6398981231.0	0.0	0.002621	46714228.0
AD-10-IFNb	41278190.0	44074332.0	150.0	0.0	0.000158	1.0	61835750.0	0.001823	0.002986	6316222451.0	1.0	0.0	61835750.0	0.0	0.712765				0.0	0.5	5835753047.0	PAIR	0.0	5923156768.0	0.0	0.003091	44074332.0
AD-10-LPS	41343880.0	43897794.0	150.0	0.0	0.000152	1.0	63906384.0	0.002244	0.002603	6264566687.0	1.0	0.0	63906384.0	0.0	0.686908				0.0	0.5	5823233555.0	PAIR	0.0	5908050825.0	0.0	0.002696	43897794.0
AD-11-Basal	42155800.0	44050004.0	150.0	0.0	0.000148	1.0	63460226.0	0.001887	0.00251	6297403070.0	1.0	0.0	63460226.0	1e-06	0.694136				0.0	0.5	5946194234.0	PAIR	0.0	6032486813.0	0.0	0.002576	44050004.0
AD-11-IFNb	48311720.0	50531090.0	150.0	0.0	0.000145	1.0	73954806.0	0.001924	0.002831	7221482154.0	1.0	0.0	73954806.0	0.0	0.68327				0.0	0.5	6810785366.0	PAIR	0.0	6910460736.0	0.0	0.002912	50531090.0
AD-11-LPS	46039676.0	48142692.0	150.0	0.0	0.000147	1.0	70565562.0	0.001968	0.002509	6867643025.0	1.0	0.0	70565562.0	1e-06	0.682241				0.0	0.5	6480700698.0	PAIR	0.0	6574106973.0	0.0	0.002582	48142692.0
AD-2-Basal	47757990.0	48995332.0	150.0	0.0	0.000129	1.0	63101812.0	0.002156	0.002482	7079096821.0	1.0	0.0	63101812.0	0.0	0.776449				0.0	0.5	6797979602.0	PAIR	0.0	6903566649.0	0.0	0.002527	48995332.0
