Sample	PCT_CODING_BASES	RIBOSOMAL_BASES	PF_NOT_ALIGNED_BASES	PCT_MRNA_BASES	CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	PCT_RIBOSOMAL_BASES	PCT_INTRONIC_BASES	MEDIAN_3PRIME_BIAS	PF_ALIGNED_BASES	LIBRARY	MEDIAN_5PRIME_BIAS	PCT_USABLE_BASES	PF_BASES	READ_GROUP	NUM_UNEXPLAINED_READS	IGNORED_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_R1_TRANSCRIPT_STRAND_READS	SAMPLE	INTERGENIC_BASES	NUM_R1_TRANSCRIPT_STRAND_READS	INTRONIC_BASES	NUM_R2_TRANSCRIPT_STRAND_READS	MEDIAN_5PRIME_TO_3PRIME_BIAS	PCT_INTERGENIC_BASES	PCT_CORRECT_STRAND_READS	INCORRECT_STRAND_READS	CODING_BASES	UTR_BASES	PCT_UTR_BASES
AD-1-Basal	53.6237	148364401.0	3506623930.0	87.3049	0.0	0.435443	2.0658	6.2768	0.656172	7181881070.0		0.440496	58.6624	10688505000.0		224119.0	0.0	49.9865	50.0135		312586475.0	7887175.0	450793252.0	7882919.0	0.611782	4.3524	0.0	0.0	3851191517.0	2418945425.0	33.6812
AD-1-IFNb	43.5404	179660374.0	4252433491.0	79.3352	0.0	0.533287	2.727	10.085	0.733764	6588110609.0		0.341134	48.2143	10840544100.0		206205.0	0.0	49.9221	50.0779		517349402.0	6605042.0	664410961.0	6584483.0	0.414341	7.8528	0.0	0.0	2868487669.0	2358202203.0	35.7948
AD-1-LPS	42.4059	168784325.0	3641569240.0	79.0169	0.0	0.537196	2.7281	10.4646	0.731854	6186884960.0		0.346508	49.7401	9828454200.0		225549.0	0.0	50.0199	49.9801		481979391.0	5970008.0	647434734.0	5974764.0	0.417841	7.7903	0.0	0.0	2623602394.0	2265084116.0	36.6111
AD-10-Basal	58.0123	105161653.0	3390356816.0	89.7071	0.0	0.388324	1.5749	6.2201	0.681839	6677453884.0		0.47338	59.4981	10067810700.0		172173.0	0.0	50.0358	49.9642		166796032.0	7958592.0	415345147.0	7970011.0	0.69776	2.4979	0.0	0.0	3873743747.0	2116407305.0	31.6948
AD-10-IFNb	54.0588	144105883.0	2959140049.0	84.65	0.0	0.406359	2.2815	9.0516	0.629019	6316222451.0		0.457605	57.6439	9275362500.0		149338.0	0.0	50.0077	49.9923		253716194.0	6958575.0	571720206.0	6960729.0	0.686995	4.0169	0.0	0.0	3414474708.0	1932205460.0	30.5912
AD-10-LPS	54.2532	128809305.0	3321390913.0	86.5051	0.0	0.399469	2.0562	7.7819	0.632544	6264566687.0		0.459572	56.5324	9585957600.0		185633.0	0.0	49.9632	50.0368		229085988.0	6898006.0	487501931.0	6887870.0	0.711221	3.6569	0.0	0.0	3398730169.0	2020439294.0	32.2519
AD-11-Basal	57.4523	100434954.0	3221630830.0	88.9863	0.0	0.396086	1.5949	6.8648	0.641337	6297403070.0		0.463366	58.8697	9519033900.0		168293.0	0.0	50.0314	49.9686		160837573.0	7338918.0	432304871.0	7348143.0	0.715392	2.554	0.0	0.0	3618005046.0	1985820626.0	31.534
AD-11-IFNb	56.7512	111640709.0	3871738746.0	88.0193	0.0	0.398249	1.546	7.9698	0.638866	7221482154.0		0.461186	57.2989	11093220900.0		161249.0	0.0	49.9731	50.0269		178002818.0	8328028.0	575541119.0	8319081.0	0.677872	2.4649	0.0	0.0	4098274264.0	2258023244.0	31.2681
AD-11-LPS	54.8746	116885635.0	3717191275.0	87.5184	0.0	0.395973	1.702	8.126	0.65966	6867643025.0		0.470799	56.7836	10584834300.0		190356.0	0.0	49.9606	50.0394		182243341.0	7899521.0	558065361.0	7887069.0	0.705652	2.6537	0.0	0.0	3768589636.0	2241859052.0	32.6438
AD-2-Basal	62.3922	46296575.0	2386174979.0	93.7201	0.0	0.38288	0.654	4.4661	0.787164	7079096821.0		0.452793	70.0934	9465271800.0		136599.0	0.0	50.0537	49.9463		82103821.0	8871571.0	316161835.0	8890635.0	0.687096	1.1598	0.0	0.0	4416802657.0	2217731933.0	31.3279
