Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE	LIBRARY	READ_GROUP
BIMD00152-01-B	PAIR	110249102.0	110249102.0	1.0	0.0	104106935.0	0.944288	11215408613.0	44331857.0	4729390865.0	4621606634.0	0.0	0.003537	0.003575	0.00018	107.908977	103716186.0	0.996247	390749.0	0.003753	0.0	0.499994	0.001381	2e-06			
BIMD00152-01-IFNg	PAIR	70433246.0	70433246.0	1.0	0.0	67394441.0	0.956856	7331643348.0	22045095.0	2355631931.0	2308065432.0	0.0	0.003293	0.003408	0.000163	108.954839	67201120.0	0.997131	193321.0	0.002869	0.0	0.499985	0.001025	1e-06			
BIMD00152-01-LPS	PAIR	113103578.0	113103578.0	1.0	0.0	107447505.0	0.949992	11673382650.0	47762697.0	5135003218.0	5037160588.0	0.0	0.003129	0.003158	0.000184	108.715236	107070376.0	0.99649	377129.0	0.00351	0.0	0.499965	0.001233	2e-06			
BIMD0043-02-B	PAIR	64621264.0	64621264.0	1.0	0.0	62581910.0	0.968441	7186346294.0	40819560.0	4697569462.0	4594433670.0	0.0	0.003028	0.002949	0.000181	114.923197	62400664.0	0.997104	181246.0	0.002896	0.0	0.499933	0.001126	0.0			
BIMD0043-02-IFNg	PAIR	66409980.0	66409980.0	1.0	0.0	64716370.0	0.974498	7718260515.0	60284260.0	7214768157.0	7072408126.0	0.0	0.002874	0.002846	0.000217	119.311443	64537688.0	0.997239	178682.0	0.002761	0.0	0.499951	0.000942	0.0			
BIMD0043-02-LPS	PAIR	119289212.0	119289212.0	1.0	0.0	116069114.0	0.973006	14266034582.0	106121925.0	13098108877.0	12837343239.0	0.0	0.003	0.002987	0.000235	122.859087	115690706.0	0.99674	378408.0	0.00326	0.0	0.499934	0.001016	1e-06			
BIMD0050-02-B	PAIR	77290738.0	77290738.0	1.0	0.0	74983547.0	0.970149	8435520858.0	47784156.0	5391497342.0	5281627524.0	0.0	0.002975	0.002884	0.000174	112.611758	74790920.0	0.997431	192627.0	0.002569	0.0	0.499919	0.001184	0.0			
BIMD0050-02-IFNg	PAIR	63551856.0	63551856.0	1.0	0.0	61734291.0	0.9714	7461733737.0	56619901.0	6873210268.0	6728461888.0	0.0	0.003046	0.003013	0.00021	120.807105	61523096.0	0.996579	211195.0	0.003421	0.0	0.499939	0.00117	0.0			
BIMD0050-02-LPS	PAIR	127844594.0	127844594.0	1.0	0.0	123994127.0	0.969882	13877391167.0	84833821.0	9522852239.0	9317048035.0	0.0	0.003038	0.002978	0.000185	112.050467	123664676.0	0.997343	329451.0	0.002657	0.0	0.499982	0.001026	0.0			
BIMD0052-02-B	PAIR	55803536.0	55803536.0	1.0	0.0	54201266.0	0.971287	6064858421.0	30586722.0	3427720683.0	3361021675.0	0.0	0.002863	0.002797	0.000171	112.105552	54078634.0	0.997737	122632.0	0.002263	0.0	0.499958	0.000926	0.0			
BIMD0052-02-IFNg	PAIR	58657424.0	58657424.0	1.0	0.0	57242519.0	0.975879	6904110389.0	53207936.0	6439449231.0	6311041881.0	0.0	0.00297	0.002941	0.000197	120.746566	57109696.0	0.99768	132823.0	0.00232	0.0	0.499952	0.000906	0.0			
BIMD0052-02-LPS	PAIR	75533424.0	75533424.0	1.0	0.0	73797077.0	0.977012	9072294146.0	69318545.0	8550456619.0	8368581147.0	0.0	0.003023	0.002996	0.000204	123.020609	73601818.0	0.997354	195259.0	0.002646	0.0	0.499955	0.000877	0.0			
BIMD0064-02-B	PAIR	65415640.0	65415640.0	1.0	0.0	63975519.0	0.977985	7688656368.0	58894677.0	7100231558.0	6960102055.0	0.0	0.002782	0.002747	0.000212	120.275959	63816152.0	0.997509	159367.0	0.002491	0.0	0.499931	0.000967	0.0			
BIMD0064-02-IFNg	PAIR	71064222.0	71064222.0	1.0	0.0	69130530.0	0.97279	7798043042.0	64302932.0	7281943565.0	7135153626.0	0.0	0.002883	0.00286	0.000211	112.8672	68959480.0	0.997526	171050.0	0.002474	0.0	0.49994	0.000988	0.0			
BIMD0064-02-LPS	PAIR	57095270.0	57095270.0	1.0	0.0	55772805.0	0.976838	6427168884.0	52065625.0	6022241159.0	5904859409.0	0.0	0.002796	0.002772	0.000213	115.399901	55651580.0	0.997826	121225.0	0.002174	0.0	0.499943	0.000878	0.0			
BIMD0067-03-B	PAIR	69426434.0	69426434.0	1.0	0.0	66236306.0	0.95405	7175252305.0	30492908.0	3285285840.0	3212346478.0	0.0	0.003329	0.003319	0.000178	108.193963	65983804.0	0.996188	252502.0	0.003812	0.0	0.499911	0.001319	0.0			
BIMD0067-03-IFNg	PAIR	66310470.0	66310470.0	1.0	0.0	63291682.0	0.954475	6971112056.0	32305237.0	3537768401.0	3462469514.0	0.0	0.003325	0.003349	0.000179	110.156278	63062682.0	0.996382	229000.0	0.003618	0.0	0.499958	0.00128	0.0			
BIMD0067-03-LPS	PAIR	71321720.0	71321720.0	1.0	0.0	68997959.0	0.967419	8010690389.0	44113702.0	5138521701.0	5027471497.0	0.0	0.00314	0.00307	0.00019	116.211419	68775682.0	0.996778	222277.0	0.003222	0.0	0.499971	0.001016	0.0			
BIMD0068-02-B	PAIR	72206152.0	72206152.0	1.0	0.0	69374455.0	0.960783	7479067398.0	35609191.0	3826138035.0	3751169254.0	0.0	0.003025	0.00296	0.000177	107.948942	69181316.0	0.997216	193139.0	0.002784	0.0	0.499942	0.001176	0.0			
BIMD0068-02-IFNg	PAIR	67620020.0	67620020.0	1.0	0.0	64087175.0	0.947754	6691552248.0	24736587.0	2549477410.0	2495887393.0	0.0	0.003333	0.003513	0.000169	104.587042	63907134.0	0.997191	180041.0	0.002809	0.0	0.499971	0.001262	0.0			
